------------train
------------train
1
0
it: 26200/80000, lr: 0.007077, loss: 3.1620, eta: 9:01:45, time: 57.2753
it: 26300/80000, lr: 0.007065, loss: 3.1913, eta: 9:00:38, time: 57.1058
it: 26400/80000, lr: 0.007053, loss: 3.1019, eta: 8:59:30, time: 56.4075
it: 26500/80000, lr: 0.007041, loss: 3.0005, eta: 8:59:07, time: 79.1578
it: 26600/80000, lr: 0.007030, loss: 3.1006, eta: 8:59:04, time: 89.1565
it: 26700/80000, lr: 0.007018, loss: 3.0084, eta: 8:58:41, time: 79.3269
it: 26800/80000, lr: 0.007006, loss: 3.1512, eta: 8:58:31, time: 86.2393
it: 26900/80000, lr: 0.006994, loss: 3.0743, eta: 8:58:01, time: 76.2777
it: 27000/80000, lr: 0.006982, loss: 3.0699, eta: 8:56:53, time: 57.0531
it: 27100/80000, lr: 0.006970, loss: 3.2240, eta: 8:55:50, time: 59.5507
it: 27200/80000, lr: 0.006958, loss: 3.1455, eta: 8:55:14, time: 73.7662
it: 27300/80000, lr: 0.006947, loss: 3.0917, eta: 8:54:21, time: 64.5153
it: 27400/80000, lr: 0.006935, loss: 3.1322, eta: 8:53:16, time: 58.6022
it: 27500/80000, lr: 0.006923, loss: 3.1029, eta: 8:52:43, time: 75.6726
it: 27600/80000, lr: 0.006911, loss: 3.1266, eta: 8:52:01, time: 70.7479
it: 27700/80000, lr: 0.006899, loss: 3.1587, eta: 8:51:05, time: 63.3253
it: 27800/80000, lr: 0.006887, loss: 3.1488, eta: 8:50:17, time: 68.2505
it: 27900/80000, lr: 0.006875, loss: 3.1020, eta: 8:49:18, time: 61.6643
it: 28000/80000, lr: 0.006864, loss: 3.1341, eta: 8:48:17, time: 61.0811
it: 28100/80000, lr: 0.006852, loss: 3.2278, eta: 8:47:58, time: 83.7622
it: 28200/80000, lr: 0.006840, loss: 3.0241, eta: 8:47:36, time: 81.9168
it: 28300/80000, lr: 0.006828, loss: 3.1837, eta: 8:47:10, time: 80.4590
it: 28400/80000, lr: 0.006816, loss: 3.0464, eta: 8:46:03, time: 57.9203
it: 28500/80000, lr: 0.006804, loss: 3.0911, eta: 8:44:57, time: 58.7656
it: 28600/80000, lr: 0.006792, loss: 3.1334, eta: 8:43:52, time: 58.7340
it: 28700/80000, lr: 0.006780, loss: 3.0960, eta: 8:42:59, time: 65.6972
it: 28800/80000, lr: 0.006768, loss: 3.0447, eta: 8:42:06, time: 65.9085
it: 28900/80000, lr: 0.006757, loss: 3.1039, eta: 8:40:58, time: 57.3058
it: 29000/80000, lr: 0.006745, loss: 3.0889, eta: 8:39:45, time: 54.7993
it: 29100/80000, lr: 0.006733, loss: 3.1688, eta: 8:38:54, time: 66.4451
it: 29200/80000, lr: 0.006721, loss: 3.0145, eta: 8:37:58, time: 64.4073
it: 29300/80000, lr: 0.006709, loss: 3.0337, eta: 8:36:47, time: 55.4762
it: 29400/80000, lr: 0.006697, loss: 3.0277, eta: 8:35:43, time: 59.7258
it: 29500/80000, lr: 0.006685, loss: 3.1597, eta: 8:34:47, time: 63.7879
it: 29600/80000, lr: 0.006673, loss: 3.1689, eta: 8:33:45, time: 60.7900
it: 29700/80000, lr: 0.006661, loss: 3.0856, eta: 8:32:34, time: 55.6079
it: 29800/80000, lr: 0.006649, loss: 3.0286, eta: 8:31:40, time: 65.2822
it: 29900/80000, lr: 0.006637, loss: 3.0764, eta: 8:30:37, time: 60.1119
it: 30000/80000, lr: 0.006625, loss: 3.0480, eta: 8:29:27, time: 55.7771
it: 30100/80000, lr: 0.006614, loss: 3.0466, eta: 8:28:31, time: 64.0338
it: 30200/80000, lr: 0.006602, loss: 3.0888, eta: 8:27:38, time: 66.4351
it: 30300/80000, lr: 0.006590, loss: 3.0606, eta: 8:26:29, time: 55.9796
it: 30400/80000, lr: 0.006578, loss: 3.0924, eta: 8:25:27, time: 60.6285
it: 30500/80000, lr: 0.006566, loss: 3.0382, eta: 8:24:27, time: 61.7760
it: 30600/80000, lr: 0.006554, loss: 3.0370, eta: 8:23:23, time: 59.8273
it: 30700/80000, lr: 0.006542, loss: 3.0082, eta: 8:22:15, time: 56.5489
it: 30800/80000, lr: 0.006530, loss: 3.0449, eta: 8:21:16, time: 62.4535
it: 30900/80000, lr: 0.006518, loss: 3.1788, eta: 8:20:14, time: 60.7660
